DistanceA,FeeA,DistanceB,FeeB,DistanceC,FeeC,DistanceD,FeeD,A,B,C,D,Slot
20,15,50,20,45,25,60,30,35,70,70,90,A
94,15,61,20,29,25,93,30,109,81,54,123,C
25,15,97,20,86,25,48,30,40,117,111,78,A
99,15,39,20,7,25,57,30,114,59,32,87,C
90,15,18,20,29,25,89,30,105,38,54,119,B
53,15,65,20,91,25,10,30,68,85,116,40,D
15,15,35,20,81,25,75,30,30,55,106,105,A
91,15,6,20,52,25,3,30,106,26,77,33,B
59,15,69,20,34,25,61,30,74,89,59,91,C
42,15,9,20,94,25,64,30,57,29,119,94,B
18,15,17,20,40,25,4,30,33,37,65,34,A
33,15,49,20,86,25,88,30,48,69,111,118,A
0,15,49,20,35,25,43,30,15,69,60,73,A
80,15,6,20,70,25,20,30,95,26,95,50,B
76,15,83,20,1,25,61,30,91,103,26,91,C
15,15,47,20,100,25,40,30,30,67,125,70,A
74,15,13,20,95,25,63,30,89,33,120,93,B
30,15,15,20,65,25,26,30,45,35,90,56,B
21,15,94,20,70,25,77,30,36,114,95,107,A
66,15,87,20,54,25,38,30,81,107,79,68,D
81,15,68,20,72,25,81,30,96,88,97,111,B
86,15,15,20,77,25,81,30,101,35,102,111,B
62,15,73,20,62,25,1,30,77,93,87,31,D
65,15,47,20,2,25,79,30,80,67,27,109,C
56,15,20,20,11,25,36,30,71,40,36,66,C
79,15,20,20,15,25,22,30,94,40,40,52,B
43,15,99,20,28,25,28,30,58,119,53,58,C
12,15,24,20,75,25,78,30,27,44,100,108,A
47,15,55,20,48,25,69,30,62,75,73,99,A
25,15,81,20,22,25,87,30,40,101,47,117,A
29,15,95,20,19,25,56,30,44,115,44,86,A
64,15,70,20,48,25,45,30,79,90,73,75,C
32,15,22,20,65,25,40,30,47,42,90,70,B
57,15,19,20,57,25,86,30,72,39,82,116,B
67,15,28,20,58,25,92,30,82,48,83,122,B
10,15,4,20,89,25,55,30,25,24,114,85,B
72,15,93,20,16,25,90,30,87,113,41,120,C
74,15,44,20,67,25,46,30,89,64,92,76,B
7,15,29,20,42,25,92,30,22,49,67,122,A
30,15,5,20,83,25,78,30,45,25,108,108,B
69,15,2,20,92,25,56,30,84,22,117,86,B
20,15,67,20,43,25,97,30,35,87,68,127,A
38,15,68,20,54,25,70,30,53,88,79,100,A
19,15,32,20,20,25,55,30,34,52,45,85,A
39,15,13,20,69,25,72,30,54,33,94,102,B
5,15,72,20,1,25,36,30,20,92,26,66,A
52,15,24,20,46,25,56,30,67,44,71,86,B
50,15,84,20,58,25,17,30,65,104,83,47,D
12,15,41,20,4,25,92,30,27,61,29,122,A
82,15,58,20,77,25,26,30,97,78,102,56,D
84,15,63,20,97,25,92,30,99,83,122,122,B
68,15,61,20,37,25,13,30,83,81,62,43,D
36,15,69,20,60,25,21,30,51,89,85,51,A
61,15,86,20,46,25,86,30,76,106,71,116,C
15,15,37,20,80,25,73,30,30,57,105,103,A
46,15,51,20,62,25,66,30,61,71,87,96,A
25,15,26,20,39,25,24,30,40,46,64,54,A
96,15,94,20,50,25,8,30,111,114,75,38,D
97,15,26,20,41,25,23,30,112,46,66,53,B
27,15,63,20,2,25,53,30,42,83,27,83,C
85,15,81,20,75,25,21,30,100,101,100,51,D
22,15,97,20,62,25,83,30,37,117,87,113,A
24,15,94,20,44,25,78,30,39,114,69,108,A
59,15,80,20,100,25,93,30,74,100,125,123,A
68,15,75,20,41,25,38,30,83,95,66,68,C
76,15,50,20,93,25,67,30,91,70,118,97,B
7,15,22,20,58,25,29,30,22,42,83,59,A
47,15,59,20,20,25,47,30,62,79,45,77,C
78,15,17,20,88,25,9,30,93,37,113,39,B
17,15,13,20,3,25,22,30,32,33,28,52,C
7,15,69,20,75,25,45,30,22,89,100,75,A
29,15,64,20,18,25,100,30,44,84,43,130,C
94,15,14,20,6,25,63,30,109,34,31,93,C
63,15,41,20,56,25,77,30,78,61,81,107,B
81,15,17,20,50,25,76,30,96,37,75,106,B
41,15,0,20,31,25,2,30,56,20,56,32,B
79,15,16,20,0,25,35,30,94,36,25,65,C
3,15,58,20,23,25,86,30,18,78,48,116,A
92,15,36,20,7,25,83,30,107,56,32,113,C
54,15,4,20,61,25,59,30,69,24,86,89,B
85,15,61,20,71,25,55,30,100,81,96,85,B
46,15,79,20,99,25,22,30,61,99,124,52,D
45,15,51,20,70,25,10,30,60,71,95,40,D
60,15,90,20,29,25,3,30,75,110,54,33,D
75,15,95,20,33,25,83,30,90,115,58,113,C
10,15,86,20,58,25,65,30,25,106,83,95,A
99,15,67,20,24,25,20,30,114,87,49,50,C
24,15,63,20,37,25,61,30,39,83,62,91,A
59,15,81,20,90,25,33,30,74,101,115,63,D
15,15,66,20,90,25,61,30,30,86,115,91,A
79,15,77,20,7,25,80,30,94,97,32,110,C
25,15,77,20,97,25,92,30,40,97,122,122,A
3,15,1,20,3,25,28,30,18,21,28,58,A
14,15,62,20,58,25,8,30,29,82,83,38,A
8,15,12,20,47,25,20,30,23,32,72,50,A
24,15,30,20,59,25,48,30,39,50,84,78,A
90,15,45,20,11,25,40,30,105,65,36,70,C
85,15,47,20,52,25,54,30,100,67,77,84,B
34,15,54,20,62,25,38,30,49,74,87,68,A
52,15,92,20,51,25,18,30,67,112,76,48,D
54,15,88,20,80,25,15,30,69,108,105,45,D
15,15,30,20,23,25,24,30,30,50,48,54,A
57,15,14,20,45,25,24,30,72,34,70,54,B
75,15,100,20,15,25,53,30,90,120,40,83,C
75,15,18,20,22,25,54,30,90,38,47,84,B
84,15,74,20,40,25,57,30,99,94,65,87,C
89,15,75,20,76,25,5,30,104,95,101,35,D
47,15,13,20,96,25,79,30,62,33,121,109,B
73,15,73,20,62,25,0,30,88,93,87,30,D
83,15,99,20,100,25,99,30,98,119,125,129,A
55,15,36,20,26,25,21,30,70,56,51,51,C
38,15,4,20,40,25,92,30,53,24,65,122,B
86,15,44,20,28,25,99,30,101,64,53,129,C
8,15,9,20,66,25,76,30,23,29,91,106,A
38,15,74,20,33,25,13,30,53,94,58,43,D
28,15,52,20,10,25,87,30,43,72,35,117,C
61,15,69,20,7,25,6,30,76,89,32,36,C
89,15,2,20,15,25,43,30,104,22,40,73,B
94,15,4,20,32,25,45,30,109,24,57,75,B
46,15,70,20,13,25,51,30,61,90,38,81,C
98,15,78,20,97,25,32,30,113,98,122,62,D
86,15,46,20,23,25,7,30,101,66,48,37,D
30,15,1,20,29,25,8,30,45,21,54,38,B
51,15,19,20,62,25,9,30,66,39,87,39,B
47,15,15,20,90,25,28,30,62,35,115,58,B
42,15,26,20,100,25,12,30,57,46,125,42,D
100,15,75,20,97,25,100,30,115,95,122,130,B
15,15,53,20,44,25,37,30,30,73,69,67,A
48,15,16,20,67,25,66,30,63,36,92,96,B
15,15,80,20,67,25,64,30,30,100,92,94,A
71,15,52,20,42,25,63,30,86,72,67,93,C
99,15,14,20,62,25,17,30,114,34,87,47,B
25,15,96,20,80,25,66,30,40,116,105,96,A
77,15,72,20,14,25,66,30,92,92,39,96,C
65,15,16,20,89,25,49,30,80,36,114,79,B
21,15,60,20,61,25,32,30,36,80,86,62,A
92,15,75,20,31,25,57,30,107,95,56,87,C
19,15,94,20,59,25,22,30,34,114,84,52,A
54,15,69,20,22,25,83,30,69,89,47,113,C
35,15,1,20,39,25,39,30,50,21,64,69,B
87,15,93,20,49,25,53,30,102,113,74,83,C
83,15,75,20,33,25,14,30,98,95,58,44,D
39,15,87,20,70,25,53,30,54,107,95,83,A
94,15,15,20,75,25,15,30,109,35,100,45,B
12,15,86,20,97,25,15,30,27,106,122,45,A
95,15,79,20,43,25,33,30,110,99,68,63,D
57,15,73,20,33,25,63,30,72,93,58,93,C
65,15,95,20,54,25,50,30,80,115,79,80,C
57,15,90,20,15,25,36,30,72,110,40,66,C
